time;work;work cumulative
2306;3200.0;2.0496E9
2307;1600000.0;2.0512E9
2308;0.0;2.0512E9
2309;1600000.0;2.0528E9
2310;0.0;2.0528E9
2311;1600000.0;2.0544E9
2312;0.0;2.0544E9
2313;1600000.0;2.056E9
2314;1596800.0;2.0575968E9
2315;3200.0;2.0576E9
2316;1600000.0;2.0592E9
2317;0.0;2.0592E9
2318;1600000.0;2.0608E9
2319;0.0;2.0608E9
2320;1600000.0;2.0624E9
2321;0.0;2.0624E9
2322;1600000.0;2.064E9
2323;1596800.0;2.0655968E9
2324;3200.0;2.0656E9
2325;1600000.0;2.0672E9
2326;0.0;2.0672E9
2327;1600000.0;2.0688E9
2328;0.0;2.0688E9
2329;1600000.0;2.0704E9
2330;0.0;2.0704E9
2331;1600000.0;2.072E9
2332;1596800.0;2.0735968E9
2333;3200.0;2.0736E9
2334;1600000.0;2.0752E9
2335;0.0;2.0752E9
2336;1600000.0;2.0768E9
2337;0.0;2.0768E9
2338;1600000.0;2.0784E9
2339;0.0;2.0784E9
2340;1600000.0;2.08E9
2341;1596800.0;2.0815968E9
2342;3200.0;2.0816E9
2343;1600000.0;2.0832E9
2344;0.0;2.0832E9
2345;1600000.0;2.0848E9
2346;0.0;2.0848E9
2347;1600000.0;2.0864E9
2348;0.0;2.0864E9
2349;1600000.0;2.088E9
2350;1596800.0;2.0895968E9
2351;3200.0;2.0896E9
2352;1600000.0;2.0912E9
2353;0.0;2.0912E9
2354;1600000.0;2.0928E9
2355;0.0;2.0928E9
2356;1600000.0;2.0944E9
2357;0.0;2.0944E9
2358;1600000.0;2.096E9
2359;1596800.0;2.0975968E9
2360;3200.0;2.0976E9
2361;1600000.0;2.0992E9
2362;0.0;2.0992E9
2363;1600000.0;2.1008E9
2364;0.0;2.1008E9
2365;1600000.0;2.1024E9
2366;0.0;2.1024E9
2367;1600000.0;2.104E9
2368;1596800.0;2.1055968E9
2369;3200.0;2.1056E9
2370;1600000.0;2.1072E9
2371;0.0;2.1072E9
2372;1600000.0;2.1088E9
2373;0.0;2.1088E9
2374;1600000.0;2.1104E9
2375;0.0;2.1104E9
2376;1600000.0;2.112E9
2377;1596800.0;2.1135968E9
2378;3200.0;2.1136E9
2379;1600000.0;2.1152E9
2380;0.0;2.1152E9
2381;1600000.0;2.1168E9
2382;0.0;2.1168E9
2383;1600000.0;2.1184E9
2384;0.0;2.1184E9
2385;1600000.0;2.12E9
2386;1596800.0;2.1215968E9
2387;3200.0;2.1216E9
2388;1600000.0;2.1232E9
2389;0.0;2.1232E9
2390;1600000.0;2.1248E9
2391;0.0;2.1248E9
2392;1600000.0;2.1264E9
2393;0.0;2.1264E9
2394;1600000.0;2.128E9
2395;1596800.0;2.1295968E9
2396;3200.0;2.1296E9
2397;1600000.0;2.1312E9
2398;0.0;2.1312E9
2399;1600000.0;2.1328E9
2400;0.0;2.1328E9
2401;1600000.0;2.1344E9
2402;0.0;2.1344E9
2403;1600000.0;2.136E9
2404;1596800.0;2.1375968E9
2405;3200.0;2.1376E9
2406;1600000.0;2.1392E9
2407;0.0;2.1392E9
2408;1600000.0;2.1408E9
2409;0.0;2.1408E9
2410;1600000.0;2.1424E9
2411;0.0;2.1424E9
2412;1600000.0;2.144E9
2413;1596800.0;2.1455968E9
2414;3200.0;2.1456E9
2415;1600000.0;2.1472E9
2416;0.0;2.1472E9
2417;1600000.0;2.1488E9
2418;0.0;2.1488E9
2419;1600000.0;2.1504E9
2420;0.0;2.1504E9
2421;1600000.0;2.152E9
2422;1596800.0;2.1535968E9
2423;3200.0;2.1536E9
2424;1600000.0;2.1552E9
2425;0.0;2.1552E9
2426;1600000.0;2.1568E9
2427;0.0;2.1568E9
2428;1600000.0;2.1584E9
2429;0.0;2.1584E9
2430;1600000.0;2.16E9
2431;1596800.0;2.1615968E9
2432;3200.0;2.1616E9
2433;1600000.0;2.1632E9
2434;0.0;2.1632E9
2435;1600000.0;2.1648E9
2436;0.0;2.1648E9
2437;1600000.0;2.1664E9
2438;0.0;2.1664E9
2439;1600000.0;2.168E9
2440;1596800.0;2.1695968E9
2441;3200.0;2.1696E9
2442;1600000.0;2.1712E9
2443;0.0;2.1712E9
2444;1600000.0;2.1728E9
2445;0.0;2.1728E9
2446;1600000.0;2.1744E9
2447;0.0;2.1744E9
2448;1600000.0;2.176E9
2449;1596800.0;2.1775968E9
2450;3200.0;2.1776E9
2451;1600000.0;2.1792E9
2452;0.0;2.1792E9
2453;1600000.0;2.1808E9
2454;0.0;2.1808E9
2455;1600000.0;2.1824E9
2456;0.0;2.1824E9
2457;1600000.0;2.184E9
2458;1596800.0;2.1855968E9
2459;3200.0;2.1856E9
2460;1600000.0;2.1872E9
2461;0.0;2.1872E9
2462;1600000.0;2.1888E9
2463;0.0;2.1888E9
2464;1600000.0;2.1904E9
2465;0.0;2.1904E9
2466;1600000.0;2.192E9
2467;1596800.0;2.1935968E9
2468;3200.0;2.1936E9
2469;1600000.0;2.1952E9
2470;0.0;2.1952E9
2471;1600000.0;2.1968E9
2472;0.0;2.1968E9
2473;1600000.0;2.1984E9
2474;0.0;2.1984E9
2475;1600000.0;2.2E9
2476;1596800.0;2.2015968E9
2477;3200.0;2.2016E9
2478;1600000.0;2.2032E9
2479;0.0;2.2032E9
2480;1600000.0;2.2048E9
2481;0.0;2.2048E9
2482;1600000.0;2.2064E9
2483;0.0;2.2064E9
2484;1600000.0;2.208E9
2485;1596800.0;2.2095968E9
2486;3200.0;2.2096E9
2487;1600000.0;2.2112E9
2488;0.0;2.2112E9
2489;1600000.0;2.2128E9
2490;0.0;2.2128E9
2491;1600000.0;2.2144E9
2492;0.0;2.2144E9
2493;1600000.0;2.216E9
2494;1596800.0;2.2175968E9
2495;3200.0;2.2176E9
2496;1600000.0;2.2192E9
2497;0.0;2.2192E9
2498;1600000.0;2.2208E9
2499;0.0;2.2208E9
2500;1600000.0;2.2224E9
2501;0.0;2.2224E9
2502;1600000.0;2.224E9
2503;1596800.0;2.2255968E9
2504;3200.0;2.2256E9
2505;1600000.0;2.2272E9
2506;0.0;2.2272E9
2507;1600000.0;2.2288E9
2508;0.0;2.2288E9
2509;1600000.0;2.2304E9
2510;0.0;2.2304E9
2511;1600000.0;2.232E9
2512;1596800.0;2.2335968E9
2513;3200.0;2.2336E9
2514;1600000.0;2.2352E9
2515;0.0;2.2352E9
2516;1600000.0;2.2368E9
2517;0.0;2.2368E9
2518;1600000.0;2.2384E9
2519;0.0;2.2384E9
2520;1600000.0;2.24E9
2521;1596800.0;2.2415968E9
2522;3200.0;2.2416E9
2523;1600000.0;2.2432E9
2524;0.0;2.2432E9
2525;1600000.0;2.2448E9
2526;0.0;2.2448E9
2527;1600000.0;2.2464E9
2528;0.0;2.2464E9
2529;1600000.0;2.248E9
2530;1596800.0;2.2495968E9
2531;3200.0;2.2496E9
2532;1600000.0;2.2512E9
2533;0.0;2.2512E9
2534;1600000.0;2.2528E9
2535;0.0;2.2528E9
2536;1600000.0;2.2544E9
2537;0.0;2.2544E9
2538;1600000.0;2.256E9
2539;1596800.0;2.2575968E9
2540;3200.0;2.2576E9
2541;1600000.0;2.2592E9
2542;0.0;2.2592E9
2543;1600000.0;2.2608E9
2544;0.0;2.2608E9
2545;1600000.0;2.2624E9
2546;0.0;2.2624E9
2547;1600000.0;2.264E9
2548;1596800.0;2.2655968E9
2549;3200.0;2.2656E9
2550;1600000.0;2.2672E9
2551;0.0;2.2672E9
2552;1600000.0;2.2688E9
2553;0.0;2.2688E9
2554;1600000.0;2.2704E9
2555;0.0;2.2704E9
2556;1600000.0;2.272E9
2557;1596800.0;2.2735968E9
2558;3200.0;2.2736E9
2559;1600000.0;2.2752E9
2560;0.0;2.2752E9
2561;1600000.0;2.2768E9
2562;0.0;2.2768E9
2563;1600000.0;2.2784E9
2564;0.0;2.2784E9
2565;1600000.0;2.28E9
2566;1596800.0;2.2815968E9
2567;3200.0;2.2816E9
2568;1600000.0;2.2832E9
2569;0.0;2.2832E9
2570;1600000.0;2.2848E9
2571;0.0;2.2848E9
2572;1600000.0;2.2864E9
2573;0.0;2.2864E9
2574;1600000.0;2.288E9
2575;1596800.0;2.2895968E9
2576;3200.0;2.2896E9
2577;1600000.0;2.2912E9
2578;0.0;2.2912E9
2579;1600000.0;2.2928E9
2580;0.0;2.2928E9
2581;1600000.0;2.2944E9
2582;0.0;2.2944E9
2583;1600000.0;2.296E9
2584;1596800.0;2.2975968E9
2585;3200.0;2.2976E9
2586;1600000.0;2.2992E9
2587;0.0;2.2992E9
2588;1600000.0;2.3008E9
2589;0.0;2.3008E9
2590;1600000.0;2.3024E9
2591;0.0;2.3024E9
2592;1600000.0;2.304E9
2593;1596800.0;2.3055968E9
2594;3200.0;2.3056E9
2595;1600000.0;2.3072E9
2596;0.0;2.3072E9
2597;1600000.0;2.3088E9
2598;0.0;2.3088E9
2599;1600000.0;2.3104E9
2600;0.0;2.3104E9
2601;1600000.0;2.312E9
2602;1596800.0;2.3135968E9
2603;3200.0;2.3136E9
2604;1600000.0;2.3152E9
2605;0.0;2.3152E9
2606;1600000.0;2.3168E9
2607;0.0;2.3168E9
2608;1600000.0;2.3184E9
2609;0.0;2.3184E9
2610;1600000.0;2.32E9
2611;1596800.0;2.3215968E9
2612;3200.0;2.3216E9
2613;1600000.0;2.3232E9
2614;0.0;2.3232E9
2615;1600000.0;2.3248E9
2616;0.0;2.3248E9
2617;1600000.0;2.3264E9
2618;0.0;2.3264E9
2619;1600000.0;2.328E9
2620;1596800.0;2.3295968E9
2621;3200.0;2.3296E9
2622;1600000.0;2.3312E9
2623;0.0;2.3312E9
2624;1600000.0;2.3328E9
2625;0.0;2.3328E9
2626;1600000.0;2.3344E9
2627;0.0;2.3344E9
2628;1600000.0;2.336E9
2629;1596800.0;2.3375968E9
2630;3200.0;2.3376E9
2631;1600000.0;2.3392E9
2632;0.0;2.3392E9
2633;1600000.0;2.3408E9
