time;energy
2309;1200.0
2310;470.0
2311;1200.0
2312;470.0
2313;1200.0
2314;1198.54
2315;471.46
2316;1200.0
2317;470.0
2318;1200.0
2319;470.0
2320;1200.0
2321;470.0
2322;1200.0
2323;1198.54
2324;471.46
2325;1200.0
2326;470.0
2327;1200.0
2328;470.0
2329;1200.0
2330;470.0
2331;1200.0
2332;1198.54
2333;471.46
2334;1200.0
2335;470.0
2336;1200.0
2337;470.0
2338;1200.0
2339;470.0
2340;1200.0
2341;1198.54
2342;471.46
2343;1200.0
2344;470.0
2345;1200.0
2346;470.0
2347;1200.0
2348;470.0
2349;1200.0
2350;1198.54
2351;471.46
2352;1200.0
2353;470.0
2354;1200.0
2355;470.0
2356;1200.0
2357;470.0
2358;1200.0
2359;1198.54
2360;471.46
2361;1200.0
2362;470.0
2363;1200.0
2364;470.0
2365;1200.0
2366;470.0
2367;1200.0
2368;1198.54
2369;471.46
2370;1200.0
2371;470.0
2372;1200.0
2373;470.0
2374;1200.0
2375;470.0
2376;1200.0
2377;1198.54
2378;471.46
2379;1200.0
2380;470.0
2381;1200.0
2382;470.0
2383;1200.0
2384;470.0
2385;1200.0
2386;1198.54
2387;471.46
2388;1200.0
2389;470.0
2390;1200.0
2391;470.0
2392;1200.0
2393;470.0
2394;1200.0
2395;1198.54
2396;471.46
2397;1200.0
2398;470.0
2399;1200.0
2400;470.0
2401;1200.0
2402;470.0
2403;1200.0
2404;1198.54
2405;471.46
2406;1200.0
2407;470.0
2408;1200.0
2409;470.0
2410;1200.0
2411;470.0
2412;1200.0
2413;1198.54
2414;471.46
2415;1200.0
2416;470.0
2417;1200.0
2418;470.0
2419;1200.0
2420;470.0
2421;1200.0
2422;1198.54
2423;471.46
2424;1200.0
2425;470.0
2426;1200.0
2427;470.0
2428;1200.0
2429;470.0
2430;1200.0
2431;1198.54
2432;471.46
2433;1200.0
2434;470.0
2435;1200.0
2436;470.0
2437;1200.0
2438;470.0
2439;1200.0
2440;1198.54
2441;471.46
2442;1200.0
2443;470.0
2444;1200.0
2445;470.0
2446;1200.0
2447;470.0
2448;1200.0
2449;1198.54
2450;471.46
2451;1200.0
2452;470.0
2453;1200.0
2454;470.0
2455;1200.0
2456;470.0
2457;1200.0
2458;1198.54
2459;471.46
2460;1200.0
2461;470.0
2462;1200.0
2463;470.0
2464;1200.0
2465;470.0
2466;1200.0
2467;1198.54
2468;471.46
2469;1200.0
